STORE,STORE CODE,DATE,ORDER #,RECEIPT#,AMOUNT OF RECEIPTS,BALANCE OUTSTANDING,DELIVERY DATE,COMM YES/NO,PRODUCT CODE,HEAD+BASE,HEAD+BASE + FRAME,COMPLETE,COLOR,DIRECT Y/N,PHOTO grnte/prpxs,WALL INCLUDED,COMMENTS
LICHTENBURG,LTX0000,29/12/24,867,2014,2000,5450,16/02/24,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,29/12/24,909,2015,200,0,20/02/24,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,30/01/24,809,2016,1000,0,N/A,YES,TRE041,N/A,X,N/A,B,NO,P,NO,
LICHTENBURG,LTX0000,02/01/24,733,2017,500,1000,N/A,YES,TRS046,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,02/01/24,1001,2018,2000,6300,14/02/24,YES,OWN DESIGN,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,02/01/24,1002,2019,19400,0,05/03/24,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,03/01/24,1003,2020,10000,7400,16/01/24,YES,TRE041,N/A,N/A,X,B,YES,NO,YES,
LICHTENBURG,LTX0000,04/01/24,995,2021,3000,1650,25/03/24,YES,TRS061,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,04/01/24,856,2022,2100,4880,N/A,YES,TRS056,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,04/01/24,1004,2023,1000,3900,22/03/24,YES,TRS046,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,04/01/24,960,2024,1000,0,N/A,YES,TRB015,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,04/01/24,1005,2025,4500,0,08/02/24,YES,TRB006,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,05/01/24,997,2026,1320,2655,N/A,YES,TRD006,X,N/A,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,05/01/24,1006,2027,500,4000,20/03/24,YES,TRB015,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,05/01/24,1003,2028,7400,0,06/01/24,YES,TRE004,N/A,N/A,X,B,YES,NO,YES,
LICHTENBURG,LTX0000,08/01/24,789,2029,500,1200,N/A,YES,TRB015,N/A,N/A,X,B,YES,NO,YES,
LICHTENBURG,LTX0000,09/01/24,1720,2030,400,3200,26/04/24,YES,TRB015,N/A,X,N/A,B,NO,NO,YES,
LICHTENBURG,LTX0000,09/01/24,743,2031,2000,0,21/02/24,YES,TRS004,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,10/01/24,1007,2032,9000,2800,29/02/24,YES,TRS039,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,10/01/24,1007,2033,2800,0,29/02/24,YES,TRS039,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,10/01/24,976,2034,1500,8000,N/A,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,10/01/24,1008,2035,5650,0,13/01/24,YES,TRS004,N/A,X,N/A,B,YES,NO,NO,
LICHTENBURG,LTX0000,11/01/24,1009,2036,11500,0,26/02/24,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,11/01/24,1010,2037,2000,2500,13/01/24,YES,TRB015,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,12/01/24,1010,2038,2500,0,13/01/24,YES,TRB015,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,12/01/24,1011,2039,1000,8000,14/01/24,YES,TRB006,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,15/01/24,1012,2040,5300,0,13/02/24,YES,SLAB ONLY,N/A,N/A,N/A,B,NO,NO,YES,
LICHTENBURG,LTX0000,15/01/24,1013,2041,4500,0,20/02/24,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,15/01/24,1014,2042,1000,17400,16/05/24,YES,TRS004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,15/01/24,1015,2043,6000,5500,14/05/24,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,16/01/24,1015,2044,5500,0,14/05/24,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,19/01/24,1016,2045,11500,0,20/01/24,YES,TRE041,N/A,N/A,X,B,YES,NO,YES,
LICHTENBURG,LTX0000,22/01/24,1017,2046,5000,5650,20/03/24,YES,TRE041,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,22/01/24,1018,2047,5650,0,20/03/24,YES,TRS061,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,22/01/24,904,2048,500,0,31/01/24,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,24/01/24,1019,2049,8900,0,27/01/24,YES,TRS046,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,24/01/24,904,2050,500,0,31/01/24,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,25/01/24,1020,2051,6300,0,27/01/24,YES,TRB004,N/A,X,N/A,B,YES,NO,YES,
LICHTENBURG,LTX0000,26/01/24,998,2052,2000,2800,13/02/24,YES,OWN DESIGN,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,26/01/24,810,2053,5000,5400,21/02/24,YES,TRE004,N/A,N/A,X,B,NO,P,YES,
LICHTENBURG,LTX0000,26/01/24,514,2054,1000,3500,14/03/24,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,26/01/24,514,2055,1000,2500,14/03/24,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,29/01/24,1021,2056,5000,4700,10/05/24,YES,TRE041,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,29/01/24,793,2057,1800,0,07/03/24,YES,TRE041,N/A,X,N/A,B,NO,NO,YES,
LICHTENBURG,LTX0000,30/01/24,733,2059,1000,0,02/04/24,YES,TRS046,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,30/01/24,1022,2060,6000,0,03/02/24,YES,TRS046,N/A,X,N/A,B,YES,NO,NO,
LICHTENBURG,LTX0000,30/01/24,1023,2061,9000,11100,N/A,YES,TRS046,N/A,X,N/A,B,NO,NO,YES,RECEPT NO 2058 WAS SKIPPED BY MISTAKE
LICHTENBURG,LTX0000,31/01/24,1024,2062,1690,12000,17/05/24,YES,TRB015,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,31/01/24,867,2063,1000,3950,16/02/24,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,31/01/24,1025,2064,8900,1900,03/02/24,YES,TRS045,N/A,N/A,X,B,YES,NO,NO,
LICHTENBURG,LTX0000,02/02/24,969,2065,4300,0,29/02/24,YES,TRB006,N/A,X,N/A,B,NO,NO,YES,
LICHTENBURG,LTX0000,02/02/24,1001,2066,2000,4300,14/02/24,YES,OWN DESIGN,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,02/02/24,997,2067,1320,1335,16/02/24,YES,TRD006,X,N/A,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,02/02/24,993,2068,1000,13800,N/A,YES,TRS045,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,02/02/24,1720,2069,600,2600,02/04/24,YES,TRB004,N/A,X,N/A,B,YES,NO,YES,
LICHTENBURG,LTX0000,02/02/24,789,2070,400,800,03/05/24,YES,TRB015,N/A,N/A,X,B,YES,NO,YES,
LICHTENBURG,LTX0000,02/02/24,790,2071,750,750,03/05/24,YES,TRS050,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,02/02/24,1027,2072,1000,3500,06/05/24,YES,TRB006,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,02/02/24,1015,2073,1900,0,03/02/24,YES,TRE041,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,03/02/24,1026,2074,6000,2350,28/03/24,YES,TRS047,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,03/02/24,1028,2075,6380,0,13/03/24,YES,TRB013,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,05/02/24,882,2076,1000,2000,N/A,YES,TRE041,X,N/A,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,05/02/24,1032,2077,1000,3500,N/A,YES,SLAB ONLY,N/A,N/A,N/A,B,NO,NO,YES,
LICHTENBURG,LTX0000,05/02/24,1004,2078,3800,0,N/A,YES,TRS046,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,05/02/24,1029,2079,1000,2900,N/A,YES,TRC001,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,06/02/24,1030,2080,3000,8000,31/05/24,YES,TRE004,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,06/02/24,1032,2081,2000,5900,24/05/24,YES,SLAB ONLY,N/A,N/A,N/A,B,NO,NO,YES,
